PERMNO,date,TICKER
38703,20201229,WFC
38703,20201230,WFC
38703,20201231,WFC
47896,20201201,JPM
47896,20201202,JPM
47896,20201203,JPM
47896,20201204,JPM
47896,20201207,JPM
47896,20201208,JPM
47896,20201209,JPM
47896,20201210,JPM
47896,20201211,JPM
47896,20201214,JPM
47896,20201215,JPM
47896,20201216,JPM
47896,20201217,JPM
47896,20201218,JPM
47896,20201221,JPM
47896,20201222,JPM
47896,20201223,JPM
47896,20201224,JPM
47896,20201228,JPM
47896,20201229,JPM
47896,20201230,JPM
47896,20201231,JPM
53613,20201201,MU
53613,20201202,MU
53613,20201203,MU
53613,20201204,MU
53613,20201207,MU
53613,20201208,MU
53613,20201209,MU
53613,20201210,MU
53613,20201211,MU
53613,20201214,MU
53613,20201215,MU
53613,20201216,MU
53613,20201217,MU
53613,20201218,MU
53613,20201221,MU
53613,20201222,MU
53613,20201223,MU
53613,20201224,MU
53613,20201228,MU
53613,20201229,MU
53613,20201230,MU
53613,20201231,MU
55976,20201201,WMT
55976,20201202,WMT
55976,20201203,WMT
55976,20201204,WMT
55976,20201207,WMT
55976,20201208,WMT
55976,20201209,WMT
55976,20201210,WMT
55976,20201211,WMT
55976,20201214,WMT
55976,20201215,WMT
55976,20201216,WMT
55976,20201217,WMT
55976,20201218,WMT
55976,20201221,WMT
55976,20201222,WMT
55976,20201223,WMT
55976,20201224,WMT
55976,20201228,WMT
55976,20201229,WMT
55976,20201230,WMT
55976,20201231,WMT
59328,20201201,INTC
59328,20201202,INTC
59328,20201203,INTC
59328,20201204,INTC
59328,20201207,INTC
59328,20201208,INTC
59328,20201209,INTC
59328,20201210,INTC
59328,20201211,INTC
59328,20201214,INTC
59328,20201215,INTC
59328,20201216,INTC
59328,20201217,INTC
59328,20201218,INTC
59328,20201221,INTC
59328,20201222,INTC
59328,20201223,INTC
59328,20201224,INTC
59328,20201228,INTC
59328,20201229,INTC
59328,20201230,INTC
59328,20201231,INTC
59408,20201201,BAC
59408,20201202,BAC
59408,20201203,BAC
59408,20201204,BAC
59408,20201207,BAC
59408,20201208,BAC
59408,20201209,BAC
59408,20201210,BAC
59408,20201211,BAC
59408,20201214,BAC
59408,20201215,BAC
59408,20201216,BAC
59408,20201217,BAC
59408,20201218,BAC
59408,20201221,BAC
59408,20201222,BAC
59408,20201223,BAC
59408,20201224,BAC
59408,20201228,BAC
59408,20201229,BAC
59408,20201230,BAC
59408,20201231,BAC
60206,20201201,SNA
60206,20201202,SNA
60206,20201203,SNA
60206,20201204,SNA
60206,20201207,SNA
60206,20201208,SNA
60206,20201209,SNA
60206,20201210,SNA
60206,20201211,SNA
60206,20201214,SNA
60206,20201215,SNA
60206,20201216,SNA
60206,20201217,SNA
60206,20201218,SNA
60206,20201221,SNA
60206,20201222,SNA
60206,20201223,SNA
60206,20201224,SNA
60206,20201228,SNA
60206,20201229,SNA
60206,20201230,SNA
60206,20201231,SNA
61241,20201201,AMD
61241,20201202,AMD
61241,20201203,AMD
61241,20201204,AMD
61241,20201207,AMD
61241,20201208,AMD
61241,20201209,AMD
61241,20201210,AMD
61241,20201211,AMD
61241,20201214,AMD
61241,20201215,AMD
61241,20201216,AMD
61241,20201217,AMD
61241,20201218,AMD
61241,20201221,AMD
61241,20201222,AMD
61241,20201223,AMD
61241,20201224,AMD
61241,20201228,AMD
61241,20201229,AMD
61241,20201230,AMD
61241,20201231,AMD
66093,20201201,T
66093,20201202,T
66093,20201203,T
66093,20201204,T
66093,20201207,T
66093,20201208,T
66093,20201209,T
66093,20201210,T
66093,20201211,T
66093,20201214,T
66093,20201215,T
66093,20201216,T
66093,20201217,T
66093,20201218,T
66093,20201221,T
66093,20201222,T
66093,20201223,T
66093,20201224,T
66093,20201228,T
66093,20201229,T
66093,20201230,T
66093,20201231,T
71298,20201201,GOLD
71298,20201202,GOLD
71298,20201203,GOLD
71298,20201204,GOLD
71298,20201207,GOLD
71298,20201208,GOLD
71298,20201209,GOLD
71298,20201210,GOLD
71298,20201211,GOLD
71298,20201214,GOLD
71298,20201215,GOLD
71298,20201216,GOLD
71298,20201217,GOLD
71298,20201218,GOLD
71298,20201221,GOLD
71298,20201222,GOLD
71298,20201223,GOLD
71298,20201224,GOLD
71298,20201228,GOLD
71298,20201229,GOLD
71298,20201230,GOLD
71298,20201231,GOLD
75154,20201201,CCL
75154,20201202,CCL
75154,20201203,CCL
75154,20201204,CCL
75154,20201207,CCL
75154,20201208,CCL
75154,20201209,CCL
75154,20201210,CCL
75154,20201211,CCL
75154,20201214,CCL
75154,20201215,CCL
75154,20201216,CCL
75154,20201217,CCL
75154,20201218,CCL
75154,20201221,CCL
75154,20201222,CCL
75154,20201223,CCL
75154,20201224,CCL
75154,20201228,CCL
75154,20201229,CCL
75154,20201230,CCL
75154,20201231,CCL
76076,20201201,CSCO
76076,20201202,CSCO
76076,20201203,CSCO
76076,20201204,CSCO
76076,20201207,CSCO
76076,20201208,CSCO
76076,20201209,CSCO
76076,20201210,CSCO
76076,20201211,CSCO
76076,20201214,CSCO
76076,20201215,CSCO
76076,20201216,CSCO
76076,20201217,CSCO
76076,20201218,CSCO
76076,20201221,CSCO
76076,20201222,CSCO
76076,20201223,CSCO
76076,20201224,CSCO
76076,20201228,CSCO
76076,20201229,CSCO
76076,20201230,CSCO
76076,20201231,CSCO
76226,20201201,VIAC
76226,20201202,VIAC
76226,20201203,VIAC
76226,20201204,VIAC
76226,20201207,VIAC
76226,20201208,VIAC
76226,20201209,VIAC
76226,20201210,VIAC
76226,20201211,VIAC
76226,20201214,VIAC
76226,20201215,VIAC
76226,20201216,VIAC
76226,20201217,VIAC
76226,20201218,VIAC
76226,20201221,VIAC
76226,20201222,VIAC
76226,20201223,VIAC
76226,20201224,VIAC
76226,20201228,VIAC
76226,20201229,VIAC
76226,20201230,VIAC
76226,20201231,VIAC
76644,20201201,X
76644,20201202,X
76644,20201203,X
76644,20201204,X
76644,20201207,X
76644,20201208,X
76644,20201209,X
76644,20201210,X
76644,20201211,X
76644,20201214,X
76644,20201215,X
76644,20201216,X
76644,20201217,X
76644,20201218,X
76644,20201221,X
76644,20201222,X
76644,20201223,X
76644,20201224,X
76644,20201228,X
76644,20201229,X
76644,20201230,X
76644,20201231,X
77462,20201201,M
77462,20201202,M
77462,20201203,M
77462,20201204,M
77462,20201207,M
77462,20201208,M
77462,20201209,M
77462,20201210,M
77462,20201211,M
77462,20201214,M
77462,20201215,M
77462,20201216,M
77462,20201217,M
77462,20201218,M
77462,20201221,M
77462,20201222,M
77462,20201223,M
77462,20201224,M
77462,20201228,M
77462,20201229,M
77462,20201230,M
77462,20201231,M
81774,20201201,FCX
81774,20201202,FCX
81774,20201203,FCX
81774,20201204,FCX
81774,20201207,FCX
81774,20201208,FCX
81774,20201209,FCX
81774,20201210,FCX
81774,20201211,FCX
81774,20201214,FCX
81774,20201215,FCX
81774,20201216,FCX
81774,20201217,FCX
81774,20201218,FCX
81774,20201221,FCX
81774,20201222,FCX
81774,20201223,FCX
81774,20201224,FCX
81774,20201228,FCX
81774,20201229,FCX
81774,20201230,FCX
81774,20201231,FCX
84788,20201201,AMZN
84788,20201202,AMZN
84788,20201203,AMZN
84788,20201204,AMZN
84788,20201207,AMZN
84788,20201208,AMZN
84788,20201209,AMZN
84788,20201210,AMZN
84788,20201211,AMZN
84788,20201214,AMZN
84788,20201215,AMZN
84788,20201216,AMZN
84788,20201217,AMZN
84788,20201218,AMZN
84788,20201221,AMZN
84788,20201222,AMZN
84788,20201223,AMZN
84788,20201224,AMZN
84788,20201228,AMZN
84788,20201229,AMZN
84788,20201230,AMZN
84788,20201231,AMZN
86580,20201201,NVDA
86580,20201202,NVDA
86580,20201203,NVDA
86580,20201204,NVDA
86580,20201207,NVDA
86580,20201208,NVDA
86580,20201209,NVDA
86580,20201210,NVDA
86580,20201211,NVDA
86580,20201214,NVDA
86580,20201215,NVDA
86580,20201216,NVDA
86580,20201217,NVDA
86580,20201218,NVDA
86580,20201221,NVDA
86580,20201222,NVDA
86580,20201223,NVDA
86580,20201224,NVDA
86580,20201228,NVDA
86580,20201229,NVDA
86580,20201230,NVDA
86580,20201231,NVDA
87128,20201201,NOK
87128,20201202,NOK
87128,20201203,NOK
87128,20201204,NOK
87128,20201207,NOK
87128,20201208,NOK
87128,20201209,NOK
87128,20201210,NOK
87128,20201211,NOK
87128,20201214,NOK
87128,20201215,NOK
87128,20201216,NOK
87128,20201217,NOK
87128,20201218,NOK
87128,20201221,NOK
87128,20201222,NOK
87128,20201223,NOK
87128,20201224,NOK
87128,20201228,NOK
87128,20201229,NOK
87128,20201230,NOK
87128,20201231,NOK
